colonia,municipio,departamento,label_forza,alias_busqueda,fuente
GUACOTECTI,Guacotecti,Cabañas,"GUACOTECTI, Guacotecti, Cabañas",GUACOTECTI,semilla_distrito
ILOBASCO,Ilobasco,Cabañas,"ILOBASCO, Ilobasco, Cabañas",ILOBASCO,semilla_distrito
JUTIAPA,Jutiapa,Cabañas,"JUTIAPA, Jutiapa, Cabañas",JUTIAPA,semilla_distrito
SAN ISIDRO,San Isidro,Cabañas,"SAN ISIDRO, San Isidro, Cabañas",SAN ISIDRO,semilla_distrito
SENSUNTEPEQUE,Sensuntepeque,Cabañas,"SENSUNTEPEQUE, Sensuntepeque, Cabañas",SENSUNTEPEQUE,semilla_distrito
TEJUTEPEQUE,Tejutepeque,Cabañas,"TEJUTEPEQUE, Tejutepeque, Cabañas",TEJUTEPEQUE,semilla_distrito
VICTORIA,Victoria,Cabañas,"VICTORIA, Victoria, Cabañas",VICTORIA,semilla_distrito
AGUA CALIENTE,Agua Caliente,Chalatenango,"AGUA CALIENTE, Agua Caliente, Chalatenango",AGUA CALIENTE,semilla_distrito
ARCATAO,Arcatao,Chalatenango,"ARCATAO, Arcatao, Chalatenango",ARCATAO,semilla_distrito
AZACUALPA,Azacualpa,Chalatenango,"AZACUALPA, Azacualpa, Chalatenango",AZACUALPA,semilla_distrito
CHALATENANGO,Chalatenango,Chalatenango,"CHALATENANGO, Chalatenango, Chalatenango",CHALATENANGO,semilla_distrito
AGUA CALIENTE,Chalatenango Centro,Chalatenango,"AGUA CALIENTE, Chalatenango Centro, Chalatenango",AGUA CALIENTE,semilla_municipio_nuevo
DULCE NOMBRE DE MARÍA,Chalatenango Centro,Chalatenango,"DULCE NOMBRE DE MARÍA, Chalatenango Centro, Chalatenango",DULCE NOMBRE DE MARÍA,semilla_municipio_nuevo
EL PARAÍSO,Chalatenango Centro,Chalatenango,"EL PARAÍSO, Chalatenango Centro, Chalatenango",EL PARAÍSO,semilla_municipio_nuevo
LA REINA,Chalatenango Centro,Chalatenango,"LA REINA, Chalatenango Centro, Chalatenango",LA REINA,semilla_municipio_nuevo
NUEVA CONCEPCIÓN,Chalatenango Centro,Chalatenango,"NUEVA CONCEPCIÓN, Chalatenango Centro, Chalatenango",NUEVA CONCEPCIÓN,semilla_municipio_nuevo
SAN FERNANDO,Chalatenango Centro,Chalatenango,"SAN FERNANDO, Chalatenango Centro, Chalatenango",SAN FERNANDO,semilla_municipio_nuevo
SAN FRANCISCO MORAZÁN,Chalatenango Centro,Chalatenango,"SAN FRANCISCO MORAZÁN, Chalatenango Centro, Chalatenango",SAN FRANCISCO MORAZÁN,semilla_municipio_nuevo
SAN RAFAEL,Chalatenango Centro,Chalatenango,"SAN RAFAEL, Chalatenango Centro, Chalatenango",SAN RAFAEL,semilla_municipio_nuevo
SANTA RITA,Chalatenango Centro,Chalatenango,"SANTA RITA, Chalatenango Centro, Chalatenango",SANTA RITA,semilla_municipio_nuevo
TEJUTLA,Chalatenango Centro,Chalatenango,"TEJUTLA, Chalatenango Centro, Chalatenango",TEJUTLA,semilla_municipio_nuevo
CITALÁ,Chalatenango Norte,Chalatenango,"CITALÁ, Chalatenango Norte, Chalatenango",CITALÁ,semilla_municipio_nuevo
LA PALMA,Chalatenango Norte,Chalatenango,"LA PALMA, Chalatenango Norte, Chalatenango",LA PALMA,semilla_municipio_nuevo
SAN IGNACIO,Chalatenango Norte,Chalatenango,"SAN IGNACIO, Chalatenango Norte, Chalatenango",SAN IGNACIO,semilla_municipio_nuevo
ARCATAO,Chalatenango Sur,Chalatenango,"ARCATAO, Chalatenango Sur, Chalatenango",ARCATAO,semilla_municipio_nuevo
AZACUALPA,Chalatenango Sur,Chalatenango,"AZACUALPA, Chalatenango Sur, Chalatenango",AZACUALPA,semilla_municipio_nuevo
CHALATENANGO,Chalatenango Sur,Chalatenango,"CHALATENANGO, Chalatenango Sur, Chalatenango",CHALATENANGO,semilla_municipio_nuevo
COMALAPA,Chalatenango Sur,Chalatenango,"COMALAPA, Chalatenango Sur, Chalatenango",COMALAPA,semilla_municipio_nuevo
CONCEPCIÓN QUEZALTEPEQUE,Chalatenango Sur,Chalatenango,"CONCEPCIÓN QUEZALTEPEQUE, Chalatenango Sur, Chalatenango",CONCEPCIÓN QUEZALTEPEQUE,semilla_municipio_nuevo
EL CARRIZAL,Chalatenango Sur,Chalatenango,"EL CARRIZAL, Chalatenango Sur, Chalatenango",EL CARRIZAL,semilla_municipio_nuevo
LA LAGUNA,Chalatenango Sur,Chalatenango,"LA LAGUNA, Chalatenango Sur, Chalatenango",LA LAGUNA,semilla_municipio_nuevo
LAS VUELTAS,Chalatenango Sur,Chalatenango,"LAS VUELTAS, Chalatenango Sur, Chalatenango",LAS VUELTAS,semilla_municipio_nuevo
NOMBRE DE JESÚS,Chalatenango Sur,Chalatenango,"NOMBRE DE JESÚS, Chalatenango Sur, Chalatenango",NOMBRE DE JESÚS,semilla_municipio_nuevo
NUEVA TRINIDAD,Chalatenango Sur,Chalatenango,"NUEVA TRINIDAD, Chalatenango Sur, Chalatenango",NUEVA TRINIDAD,semilla_municipio_nuevo
OJOS DE AGUA,Chalatenango Sur,Chalatenango,"OJOS DE AGUA, Chalatenango Sur, Chalatenango",OJOS DE AGUA,semilla_municipio_nuevo
