colonia,municipio,departamento,label_forza,alias_busqueda,fuente
SAN JOSÉ VILLANUEVA,La Libertad Este,La Libertad,"SAN JOSÉ VILLANUEVA, La Libertad Este, La Libertad",SAN JOSÉ VILLANUEVA,semilla_municipio_nuevo
ZARAGOZA,La Libertad Este,La Libertad,"ZARAGOZA, La Libertad Este, La Libertad",ZARAGOZA,semilla_municipio_nuevo
QUEZALTEPEQUE,La Libertad Norte,La Libertad,"QUEZALTEPEQUE, La Libertad Norte, La Libertad",QUEZALTEPEQUE,semilla_municipio_nuevo
SAN MATÍAS,La Libertad Norte,La Libertad,"SAN MATÍAS, La Libertad Norte, La Libertad",SAN MATÍAS,semilla_municipio_nuevo
SAN PABLO TACACHICO,La Libertad Norte,La Libertad,"SAN PABLO TACACHICO, La Libertad Norte, La Libertad",SAN PABLO TACACHICO,semilla_municipio_nuevo
COLÓN,La Libertad Oeste,La Libertad,"COLÓN, La Libertad Oeste, La Libertad",COLÓN,semilla_municipio_nuevo
JAYAQUE,La Libertad Oeste,La Libertad,"JAYAQUE, La Libertad Oeste, La Libertad",JAYAQUE,semilla_municipio_nuevo
SACACOYO,La Libertad Oeste,La Libertad,"SACACOYO, La Libertad Oeste, La Libertad",SACACOYO,semilla_municipio_nuevo
TALNIQUE,La Libertad Oeste,La Libertad,"TALNIQUE, La Libertad Oeste, La Libertad",TALNIQUE,semilla_municipio_nuevo
TEPECOYO,La Libertad Oeste,La Libertad,"TEPECOYO, La Libertad Oeste, La Libertad",TEPECOYO,semilla_municipio_nuevo
COMASAGUA,La Libertad Sur,La Libertad,"COMASAGUA, La Libertad Sur, La Libertad",COMASAGUA,semilla_municipio_nuevo
SANTA TECLA,La Libertad Sur,La Libertad,"SANTA TECLA, La Libertad Sur, La Libertad",SANTA TECLA,semilla_municipio_nuevo
NUEVO CUSCATLÁN,Nuevo Cuscatlán,La Libertad,"NUEVO CUSCATLÁN, Nuevo Cuscatlán, La Libertad",NUEVO CUSCATLÁN,semilla_distrito
PUERTO DE LA LIBERTAD,Puerto de la Libertad,La Libertad,"PUERTO DE LA LIBERTAD, Puerto de la Libertad, La Libertad",PUERTO DE LA LIBERTAD,semilla_distrito
QUEZALTEPEQUE,Quezaltepeque,La Libertad,"QUEZALTEPEQUE, Quezaltepeque, La Libertad",QUEZALTEPEQUE,semilla_distrito
SACACOYO,Sacacoyo,La Libertad,"SACACOYO, Sacacoyo, La Libertad",SACACOYO,semilla_distrito
SAN JOSÉ VILLANUEVA,San José Villanueva,La Libertad,"SAN JOSÉ VILLANUEVA, San José Villanueva, La Libertad",SAN JOSÉ VILLANUEVA,semilla_distrito
MONCAGUA,San Juan Opico,La Libertad,"MONCAGUA, San Juan Opico, La Libertad",MONCAGUA,forza_confirmado
SAN JUAN OPICO,San Juan Opico,La Libertad,"SAN JUAN OPICO, San Juan Opico, La Libertad",SAN JUAN OPICO,semilla_distrito
SAN MATÍAS,San Matías,La Libertad,"SAN MATÍAS, San Matías, La Libertad",SAN MATÍAS,semilla_distrito
SAN PABLO TACACHICO,San Pablo Tacachico,La Libertad,"SAN PABLO TACACHICO, San Pablo Tacachico, La Libertad",SAN PABLO TACACHICO,semilla_distrito
SANTA TECLA,Santa Tecla,La Libertad,"SANTA TECLA, Santa Tecla, La Libertad",SANTA TECLA,semilla_distrito
TALNIQUE,Talnique,La Libertad,"TALNIQUE, Talnique, La Libertad",TALNIQUE,semilla_distrito
TAMANIQUE,Tamanique,La Libertad,"TAMANIQUE, Tamanique, La Libertad",TAMANIQUE,semilla_distrito
TEOTEPEQUE,Teotepeque,La Libertad,"TEOTEPEQUE, Teotepeque, La Libertad",TEOTEPEQUE,semilla_distrito
TEPECOYO,Tepecoyo,La Libertad,"TEPECOYO, Tepecoyo, La Libertad",TEPECOYO,semilla_distrito
ZARAGOZA,Zaragoza,La Libertad,"ZARAGOZA, Zaragoza, La Libertad",ZARAGOZA,semilla_distrito
CUYULTITÁN,Cuyultitán,La Paz,"CUYULTITÁN, Cuyultitán, La Paz",CUYULTITÁN,semilla_distrito
EL ROSARIO,El Rosario,La Paz,"EL ROSARIO, El Rosario, La Paz",EL ROSARIO,semilla_distrito
JERUSALÉN,Jerusalén,La Paz,"JERUSALÉN, Jerusalén, La Paz",JERUSALÉN,semilla_distrito
EL ROSARIO,La Paz Centro,La Paz,"EL ROSARIO, La Paz Centro, La Paz",EL ROSARIO,semilla_municipio_nuevo
JERUSALÉN,La Paz Centro,La Paz,"JERUSALÉN, La Paz Centro, La Paz",JERUSALÉN,semilla_municipio_nuevo
MERCEDES LA CEIBA,La Paz Centro,La Paz,"MERCEDES LA CEIBA, La Paz Centro, La Paz",MERCEDES LA CEIBA,semilla_municipio_nuevo
PARAÍSO DE OSORIO,La Paz Centro,La Paz,"PARAÍSO DE OSORIO, La Paz Centro, La Paz",PARAÍSO DE OSORIO,semilla_municipio_nuevo
SAN ANTONIO MASAHUAT,La Paz Centro,La Paz,"SAN ANTONIO MASAHUAT, La Paz Centro, La Paz",SAN ANTONIO MASAHUAT,semilla_municipio_nuevo
SAN EMIGDIO,La Paz Centro,La Paz,"SAN EMIGDIO, La Paz Centro, La Paz",SAN EMIGDIO,semilla_municipio_nuevo
SAN JUAN TEPEZONTES,La Paz Centro,La Paz,"SAN JUAN TEPEZONTES, La Paz Centro, La Paz",SAN JUAN TEPEZONTES,semilla_municipio_nuevo
SAN LUIS LA HERRADURA,La Paz Centro,La Paz,"SAN LUIS LA HERRADURA, La Paz Centro, La Paz",SAN LUIS LA HERRADURA,semilla_municipio_nuevo
SAN MIGUEL TEPEZONTES,La Paz Centro,La Paz,"SAN MIGUEL TEPEZONTES, La Paz Centro, La Paz",SAN MIGUEL TEPEZONTES,semilla_municipio_nuevo
SAN PEDRO NONUALCO,La Paz Centro,La Paz,"SAN PEDRO NONUALCO, La Paz Centro, La Paz",SAN PEDRO NONUALCO,semilla_municipio_nuevo
SANTA MARÍA OSTUMA,La Paz Centro,La Paz,"SANTA MARÍA OSTUMA, La Paz Centro, La Paz",SANTA MARÍA OSTUMA,semilla_municipio_nuevo
SANTIAGO NONUALCO,La Paz Centro,La Paz,"SANTIAGO NONUALCO, La Paz Centro, La Paz",SANTIAGO NONUALCO,semilla_municipio_nuevo
SAN JUAN NONUALCO,La Paz Este,La Paz,"SAN JUAN NONUALCO, La Paz Este, La Paz",SAN JUAN NONUALCO,semilla_municipio_nuevo
SAN RAFAEL OBRAJUELO,La Paz Este,La Paz,"SAN RAFAEL OBRAJUELO, La Paz Este, La Paz",SAN RAFAEL OBRAJUELO,semilla_municipio_nuevo
ZACATECOLUCA,La Paz Este,La Paz,"ZACATECOLUCA, La Paz Este, La Paz",ZACATECOLUCA,semilla_municipio_nuevo
CUYULTITÁN,La Paz Oeste,La Paz,"CUYULTITÁN, La Paz Oeste, La Paz",CUYULTITÁN,semilla_municipio_nuevo
OLOCUILTA,La Paz Oeste,La Paz,"OLOCUILTA, La Paz Oeste, La Paz",OLOCUILTA,semilla_municipio_nuevo
SAN FRANCISCO CHINAMECA,La Paz Oeste,La Paz,"SAN FRANCISCO CHINAMECA, La Paz Oeste, La Paz",SAN FRANCISCO CHINAMECA,semilla_municipio_nuevo
SAN JUAN TALPA,La Paz Oeste,La Paz,"SAN JUAN TALPA, La Paz Oeste, La Paz",SAN JUAN TALPA,semilla_municipio_nuevo
SAN LUIS TALPA,La Paz Oeste,La Paz,"SAN LUIS TALPA, La Paz Oeste, La Paz",SAN LUIS TALPA,semilla_municipio_nuevo
SAN PEDRO MASAHUAT,La Paz Oeste,La Paz,"SAN PEDRO MASAHUAT, La Paz Oeste, La Paz",SAN PEDRO MASAHUAT,semilla_municipio_nuevo
TAPALHUACA,La Paz Oeste,La Paz,"TAPALHUACA, La Paz Oeste, La Paz",TAPALHUACA,semilla_municipio_nuevo
MERCEDES LA CEIBA,Mercedes La Ceiba,La Paz,"MERCEDES LA CEIBA, Mercedes La Ceiba, La Paz",MERCEDES LA CEIBA,semilla_distrito
OLOCUILTA,Olocuilta,La Paz,"OLOCUILTA, Olocuilta, La Paz",OLOCUILTA,semilla_distrito
PARAÍSO DE OSORIO,Paraíso de Osorio,La Paz,"PARAÍSO DE OSORIO, Paraíso de Osorio, La Paz",PARAÍSO DE OSORIO,semilla_distrito
SAN ANTONIO MASAHUAT,San Antonio Masahuat,La Paz,"SAN ANTONIO MASAHUAT, San Antonio Masahuat, La Paz",SAN ANTONIO MASAHUAT,semilla_distrito
SAN EMIGDIO,San Emigdio,La Paz,"SAN EMIGDIO, San Emigdio, La Paz",SAN EMIGDIO,semilla_distrito
SAN FRANCISCO CHINAMECA,San Francisco Chinameca,La Paz,"SAN FRANCISCO CHINAMECA, San Francisco Chinameca, La Paz",SAN FRANCISCO CHINAMECA,semilla_distrito
SAN JUAN NONUALCO,San Juan Nonualco,La Paz,"SAN JUAN NONUALCO, San Juan Nonualco, La Paz",SAN JUAN NONUALCO,semilla_distrito
SAN JUAN TALPA,San Juan Talpa,La Paz,"SAN JUAN TALPA, San Juan Talpa, La Paz",SAN JUAN TALPA,semilla_distrito
SAN JUAN TEPEZONTES,San Juan Tepezontes,La Paz,"SAN JUAN TEPEZONTES, San Juan Tepezontes, La Paz",SAN JUAN TEPEZONTES,semilla_distrito
SAN LUIS LA HERRADURA,San Luis La Herradura,La Paz,"SAN LUIS LA HERRADURA, San Luis La Herradura, La Paz",SAN LUIS LA HERRADURA,semilla_distrito
SAN LUIS TALPA,San Luis Talpa,La Paz,"SAN LUIS TALPA, San Luis Talpa, La Paz",SAN LUIS TALPA,semilla_distrito
SAN MIGUEL TEPEZONTES,San Miguel Tepezontes,La Paz,"SAN MIGUEL TEPEZONTES, San Miguel Tepezontes, La Paz",SAN MIGUEL TEPEZONTES,semilla_distrito
SAN PEDRO MASAHUAT,San Pedro Masahuat,La Paz,"SAN PEDRO MASAHUAT, San Pedro Masahuat, La Paz",SAN PEDRO MASAHUAT,semilla_distrito
SAN PEDRO NONUALCO,San Pedro Nonualco,La Paz,"SAN PEDRO NONUALCO, San Pedro Nonualco, La Paz",SAN PEDRO NONUALCO,semilla_distrito
SAN RAFAEL OBRAJUELO,San Rafael Obrajuelo,La Paz,"SAN RAFAEL OBRAJUELO, San Rafael Obrajuelo, La Paz",SAN RAFAEL OBRAJUELO,semilla_distrito
SANTA MARÍA OSTUMA,Santa María Ostuma,La Paz,"SANTA MARÍA OSTUMA, Santa María Ostuma, La Paz",SANTA MARÍA OSTUMA,semilla_distrito
SANTIAGO NONUALCO,Santiago Nonualco,La Paz,"SANTIAGO NONUALCO, Santiago Nonualco, La Paz",SANTIAGO NONUALCO,semilla_distrito
TAPALHUACA,Tapalhuaca,La Paz,"TAPALHUACA, Tapalhuaca, La Paz",TAPALHUACA,semilla_distrito
ZACATECOLUCA,Zacatecoluca,La Paz,"ZACATECOLUCA, Zacatecoluca, La Paz",ZACATECOLUCA,semilla_distrito
ANAMORÓS,Anamorós,La Unión,"ANAMORÓS, Anamorós, La Unión",ANAMORÓS,semilla_distrito
BOLÍVAR,Bolívar,La Unión,"BOLÍVAR, Bolívar, La Unión",BOLÍVAR,semilla_distrito
CONCEPCIÓN DE ORIENTE,Concepción de Oriente,La Unión,"CONCEPCIÓN DE ORIENTE, Concepción de Oriente, La Unión",CONCEPCIÓN DE ORIENTE,semilla_distrito
CONCHAGUA,Conchagua,La Unión,"CONCHAGUA, Conchagua, La Unión",CONCHAGUA,semilla_distrito
EL CARMEN,El Carmen,La Unión,"EL CARMEN, El Carmen, La Unión",EL CARMEN,semilla_distrito
EL SAUCE,El Sauce,La Unión,"EL SAUCE, El Sauce, La Unión",EL SAUCE,semilla_distrito
INTIPUCÁ,Intipucá,La Unión,"INTIPUCÁ, Intipucá, La Unión",INTIPUCÁ,semilla_distrito
LA UNIÓN,La Unión,La Unión,"LA UNIÓN, La Unión, La Unión",LA UNIÓN,semilla_distrito
ANAMORÓS,La Unión Norte,La Unión,"ANAMORÓS, La Unión Norte, La Unión",ANAMORÓS,semilla_municipio_nuevo
BOLÍVAR,La Unión Norte,La Unión,"BOLÍVAR, La Unión Norte, La Unión",BOLÍVAR,semilla_municipio_nuevo
CONCEPCIÓN DE ORIENTE,La Unión Norte,La Unión,"CONCEPCIÓN DE ORIENTE, La Unión Norte, La Unión",CONCEPCIÓN DE ORIENTE,semilla_municipio_nuevo
EL SAUCE,La Unión Norte,La Unión,"EL SAUCE, La Unión Norte, La Unión",EL SAUCE,semilla_municipio_nuevo
LISLIQUE,La Unión Norte,La Unión,"LISLIQUE, La Unión Norte, La Unión",LISLIQUE,semilla_municipio_nuevo
NUEVA ESPARTA,La Unión Norte,La Unión,"NUEVA ESPARTA, La Unión Norte, La Unión",NUEVA ESPARTA,semilla_municipio_nuevo
PASAQUINA,La Unión Norte,La Unión,"PASAQUINA, La Unión Norte, La Unión",PASAQUINA,semilla_municipio_nuevo
POLORÓS,La Unión Norte,La Unión,"POLORÓS, La Unión Norte, La Unión",POLORÓS,semilla_municipio_nuevo
SAN JOSÉ LA FUENTE,La Unión Norte,La Unión,"SAN JOSÉ LA FUENTE, La Unión Norte, La Unión",SAN JOSÉ LA FUENTE,semilla_municipio_nuevo
SANTA ROSA DE LIMA,La Unión Norte,La Unión,"SANTA ROSA DE LIMA, La Unión Norte, La Unión",SANTA ROSA DE LIMA,semilla_municipio_nuevo
CONCHAGUA,La Unión Sur,La Unión,"CONCHAGUA, La Unión Sur, La Unión",CONCHAGUA,semilla_municipio_nuevo
EL CARMEN,La Unión Sur,La Unión,"EL CARMEN, La Unión Sur, La Unión",EL CARMEN,semilla_municipio_nuevo
INTIPUCÁ,La Unión Sur,La Unión,"INTIPUCÁ, La Unión Sur, La Unión",INTIPUCÁ,semilla_municipio_nuevo
LA UNIÓN,La Unión Sur,La Unión,"LA UNIÓN, La Unión Sur, La Unión",LA UNIÓN,semilla_municipio_nuevo
MEANGUERA DEL GOLFO,La Unión Sur,La Unión,"MEANGUERA DEL GOLFO, La Unión Sur, La Unión",MEANGUERA DEL GOLFO,semilla_municipio_nuevo
SAN ALEJO,La Unión Sur,La Unión,"SAN ALEJO, La Unión Sur, La Unión",SAN ALEJO,semilla_municipio_nuevo
YAYANTIQUE,La Unión Sur,La Unión,"YAYANTIQUE, La Unión Sur, La Unión",YAYANTIQUE,semilla_municipio_nuevo
YUCUAIQUÍN,La Unión Sur,La Unión,"YUCUAIQUÍN, La Unión Sur, La Unión",YUCUAIQUÍN,semilla_municipio_nuevo
LISLIQUE,Lislique,La Unión,"LISLIQUE, Lislique, La Unión",LISLIQUE,semilla_distrito
MEANGUERA DEL GOLFO,Meanguera del Golfo,La Unión,"MEANGUERA DEL GOLFO, Meanguera del Golfo, La Unión",MEANGUERA DEL GOLFO,semilla_distrito
NUEVA ESPARTA,Nueva Esparta,La Unión,"NUEVA ESPARTA, Nueva Esparta, La Unión",NUEVA ESPARTA,semilla_distrito
PASAQUINA,Pasaquina,La Unión,"PASAQUINA, Pasaquina, La Unión",PASAQUINA,semilla_distrito
POLORÓS,Polorós,La Unión,"POLORÓS, Polorós, La Unión",POLORÓS,semilla_distrito
SAN ALEJO,San Alejo,La Unión,"SAN ALEJO, San Alejo, La Unión",SAN ALEJO,semilla_distrito
SAN JOSÉ LA FUENTE,San José La Fuente,La Unión,"SAN JOSÉ LA FUENTE, San José La Fuente, La Unión",SAN JOSÉ LA FUENTE,semilla_distrito
SANTA ROSA DE LIMA,Santa Rosa de Lima,La Unión,"SANTA ROSA DE LIMA, Santa Rosa de Lima, La Unión",SANTA ROSA DE LIMA,semilla_distrito
YAYANTIQUE,Yayantique,La Unión,"YAYANTIQUE, Yayantique, La Unión",YAYANTIQUE,semilla_distrito
YUCUAIQUÍN,Yucuaiquín,La Unión,"YUCUAIQUÍN, Yucuaiquín, La Unión",YUCUAIQUÍN,semilla_distrito
ARAMBALA,Arambala,Morazán,"ARAMBALA, Arambala, Morazán",ARAMBALA,semilla_distrito
CACAOPERA,Cacaopera,Morazán,"CACAOPERA, Cacaopera, Morazán",CACAOPERA,semilla_distrito
CHILANGA,Chilanga,Morazán,"CHILANGA, Chilanga, Morazán",CHILANGA,semilla_distrito
CORINTO,Corinto,Morazán,"CORINTO, Corinto, Morazán",CORINTO,semilla_distrito
DELICIAS DE CONCEPCIÓN,Delicias de Concepción,Morazán,"DELICIAS DE CONCEPCIÓN, Delicias de Concepción, Morazán",DELICIAS DE CONCEPCIÓN,semilla_distrito
EL DIVISADERO,El Divisadero,Morazán,"EL DIVISADERO, El Divisadero, Morazán",EL DIVISADERO,semilla_distrito
EL ROSARIO,El Rosario,Morazán,"EL ROSARIO, El Rosario, Morazán",EL ROSARIO,semilla_distrito
GUALOCOCTI,Gualococti,Morazán,"GUALOCOCTI, Gualococti, Morazán",GUALOCOCTI,semilla_distrito
GUATAJIAGA,Guatajiaga,Morazán,"GUATAJIAGA, Guatajiaga, Morazán",GUATAJIAGA,semilla_distrito
JOATECA,Joateca,Morazán,"JOATECA, Joateca, Morazán",JOATECA,semilla_distrito
JOCOAITIQUE,Jocoaitique,Morazán,"JOCOAITIQUE, Jocoaitique, Morazán",JOCOAITIQUE,semilla_distrito
JOCORO,Jocoro,Morazán,"JOCORO, Jocoro, Morazán",JOCORO,semilla_distrito
LOLOTIQUILLO,Lolotiquillo,Morazán,"LOLOTIQUILLO, Lolotiquillo, Morazán",LOLOTIQUILLO,semilla_distrito
MEANGUERA,Meanguera,Morazán,"MEANGUERA, Meanguera, Morazán",MEANGUERA,semilla_distrito
ARAMBALA,Morazán Norte,Morazán,"ARAMBALA, Morazán Norte, Morazán",ARAMBALA,semilla_municipio_nuevo
CACAOPERA,Morazán Norte,Morazán,"CACAOPERA, Morazán Norte, Morazán",CACAOPERA,semilla_municipio_nuevo
CORINTO,Morazán Norte,Morazán,"CORINTO, Morazán Norte, Morazán",CORINTO,semilla_municipio_nuevo
EL ROSARIO,Morazán Norte,Morazán,"EL ROSARIO, Morazán Norte, Morazán",EL ROSARIO,semilla_municipio_nuevo
JOATECA,Morazán Norte,Morazán,"JOATECA, Morazán Norte, Morazán",JOATECA,semilla_municipio_nuevo
JOCOAITIQUE,Morazán Norte,Morazán,"JOCOAITIQUE, Morazán Norte, Morazán",JOCOAITIQUE,semilla_municipio_nuevo
MEANGUERA,Morazán Norte,Morazán,"MEANGUERA, Morazán Norte, Morazán",MEANGUERA,semilla_municipio_nuevo
PERQUÍN,Morazán Norte,Morazán,"PERQUÍN, Morazán Norte, Morazán",PERQUÍN,semilla_municipio_nuevo
SAN FERNANDO,Morazán Norte,Morazán,"SAN FERNANDO, Morazán Norte, Morazán",SAN FERNANDO,semilla_municipio_nuevo
SAN ISIDRO,Morazán Norte,Morazán,"SAN ISIDRO, Morazán Norte, Morazán",SAN ISIDRO,semilla_municipio_nuevo
TOROLA,Morazán Norte,Morazán,"TOROLA, Morazán Norte, Morazán",TOROLA,semilla_municipio_nuevo
CHILANGA,Morazán Sur,Morazán,"CHILANGA, Morazán Sur, Morazán",CHILANGA,semilla_municipio_nuevo
DELICIAS DE CONCEPCIÓN,Morazán Sur,Morazán,"DELICIAS DE CONCEPCIÓN, Morazán Sur, Morazán",DELICIAS DE CONCEPCIÓN,semilla_municipio_nuevo
EL DIVISADERO,Morazán Sur,Morazán,"EL DIVISADERO, Morazán Sur, Morazán",EL DIVISADERO,semilla_municipio_nuevo
GUALOCOCTI,Morazán Sur,Morazán,"GUALOCOCTI, Morazán Sur, Morazán",GUALOCOCTI,semilla_municipio_nuevo
GUATAJIAGA,Morazán Sur,Morazán,"GUATAJIAGA, Morazán Sur, Morazán",GUATAJIAGA,semilla_municipio_nuevo
JOCORO,Morazán Sur,Morazán,"JOCORO, Morazán Sur, Morazán",JOCORO,semilla_municipio_nuevo
LOLOTIQUILLO,Morazán Sur,Morazán,"LOLOTIQUILLO, Morazán Sur, Morazán",LOLOTIQUILLO,semilla_municipio_nuevo
OSICALA,Morazán Sur,Morazán,"OSICALA, Morazán Sur, Morazán",OSICALA,semilla_municipio_nuevo
SAN CARLOS,Morazán Sur,Morazán,"SAN CARLOS, Morazán Sur, Morazán",SAN CARLOS,semilla_municipio_nuevo
SAN FRANCISCO GOTERA,Morazán Sur,Morazán,"SAN FRANCISCO GOTERA, Morazán Sur, Morazán",SAN FRANCISCO GOTERA,semilla_municipio_nuevo
SAN SIMÓN,Morazán Sur,Morazán,"SAN SIMÓN, Morazán Sur, Morazán",SAN SIMÓN,semilla_municipio_nuevo
SENSEMBRA,Morazán Sur,Morazán,"SENSEMBRA, Morazán Sur, Morazán",SENSEMBRA,semilla_municipio_nuevo
SOCIEDAD,Morazán Sur,Morazán,"SOCIEDAD, Morazán Sur, Morazán",SOCIEDAD,semilla_municipio_nuevo
YAMABAL,Morazán Sur,Morazán,"YAMABAL, Morazán Sur, Morazán",YAMABAL,semilla_municipio_nuevo
YOLOAIQUÍN,Morazán Sur,Morazán,"YOLOAIQUÍN, Morazán Sur, Morazán",YOLOAIQUÍN,semilla_municipio_nuevo
OSICALA,Osicala,Morazán,"OSICALA, Osicala, Morazán",OSICALA,semilla_distrito
PERQUÍN,Perquín,Morazán,"PERQUÍN, Perquín, Morazán",PERQUÍN,semilla_distrito
SAN CARLOS,San Carlos,Morazán,"SAN CARLOS, San Carlos, Morazán",SAN CARLOS,semilla_distrito
SAN FERNANDO,San Fernando,Morazán,"SAN FERNANDO, San Fernando, Morazán",SAN FERNANDO,semilla_distrito
SAN FRANCISCO GOTERA,San Francisco Gotera,Morazán,"SAN FRANCISCO GOTERA, San Francisco Gotera, Morazán",SAN FRANCISCO GOTERA,semilla_distrito
SAN ISIDRO,San Isidro,Morazán,"SAN ISIDRO, San Isidro, Morazán",SAN ISIDRO,semilla_distrito
SAN SIMÓN,San Simón,Morazán,"SAN SIMÓN, San Simón, Morazán",SAN SIMÓN,semilla_distrito
SENSEMBRA,Sensembra,Morazán,"SENSEMBRA, Sensembra, Morazán",SENSEMBRA,semilla_distrito
SOCIEDAD,Sociedad,Morazán,"SOCIEDAD, Sociedad, Morazán",SOCIEDAD,semilla_distrito
TOROLA,Torola,Morazán,"TOROLA, Torola, Morazán",TOROLA,semilla_distrito
YAMABAL,Yamabal,Morazán,"YAMABAL, Yamabal, Morazán",YAMABAL,semilla_distrito
YOLOAIQUÍN,Yoloaiquín,Morazán,"YOLOAIQUÍN, Yoloaiquín, Morazán",YOLOAIQUÍN,semilla_distrito
CAROLINA,Carolina,San Miguel,"CAROLINA, Carolina, San Miguel",CAROLINA,semilla_distrito
CHAPELTIQUE,Chapeltique,San Miguel,"CHAPELTIQUE, Chapeltique, San Miguel",CHAPELTIQUE,semilla_distrito
CHINAMECA,Chinameca,San Miguel,"CHINAMECA, Chinameca, San Miguel",CHINAMECA,semilla_distrito
CHIRILAGUA,Chirilagua,San Miguel,"CHIRILAGUA, Chirilagua, San Miguel",CHIRILAGUA,semilla_distrito
CIUDAD BARRIOS,Ciudad Barrios,San Miguel,"CIUDAD BARRIOS, Ciudad Barrios, San Miguel",CIUDAD BARRIOS,semilla_distrito
COMACARÁN,Comacarán,San Miguel,"COMACARÁN, Comacarán, San Miguel",COMACARÁN,semilla_distrito
EL TRÁNSITO,El Tránsito,San Miguel,"EL TRÁNSITO, El Tránsito, San Miguel",EL TRÁNSITO,semilla_distrito
LOLOTIQUE,Lolotique,San Miguel,"LOLOTIQUE, Lolotique, San Miguel",LOLOTIQUE,semilla_distrito
MONCAGUA,Moncagua,San Miguel,"MONCAGUA, Moncagua, San Miguel",MONCAGUA,semilla_distrito
NUEVA GUADALUPE,Nueva Guadalupe,San Miguel,"NUEVA GUADALUPE, Nueva Guadalupe, San Miguel",NUEVA GUADALUPE,semilla_distrito
NUEVO EDÉN DE SAN JUAN,Nuevo Edén de San Juan,San Miguel,"NUEVO EDÉN DE SAN JUAN, Nuevo Edén de San Juan, San Miguel",NUEVO EDÉN DE SAN JUAN,semilla_distrito
QUELEPA,Quelepa,San Miguel,"QUELEPA, Quelepa, San Miguel",QUELEPA,semilla_distrito
SAN ANTONIO DEL MOSCO,San Antonio del Mosco,San Miguel,"SAN ANTONIO DEL MOSCO, San Antonio del Mosco, San Miguel",SAN ANTONIO DEL MOSCO,semilla_distrito
SAN GERARDO,San Gerardo,San Miguel,"SAN GERARDO, San Gerardo, San Miguel",SAN GERARDO,semilla_distrito
SAN JORGE,San Jorge,San Miguel,"SAN JORGE, San Jorge, San Miguel",SAN JORGE,semilla_distrito
SAN LUIS DE LA REINA,San Luis de La Reina,San Miguel,"SAN LUIS DE LA REINA, San Luis de La Reina, San Miguel",SAN LUIS DE LA REINA,semilla_distrito
SAN MIGUEL,San Miguel,San Miguel,"SAN MIGUEL, San Miguel, San Miguel",SAN MIGUEL,semilla_distrito
CHIRILAGUA,San Miguel Centro,San Miguel,"CHIRILAGUA, San Miguel Centro, San Miguel",CHIRILAGUA,semilla_municipio_nuevo
COMACARÁN,San Miguel Centro,San Miguel,"COMACARÁN, San Miguel Centro, San Miguel",COMACARÁN,semilla_municipio_nuevo
MONCAGUA,San Miguel Centro,San Miguel,"MONCAGUA, San Miguel Centro, San Miguel",MONCAGUA,semilla_municipio_nuevo
QUELEPA,San Miguel Centro,San Miguel,"QUELEPA, San Miguel Centro, San Miguel",QUELEPA,semilla_municipio_nuevo
SAN MIGUEL,San Miguel Centro,San Miguel,"SAN MIGUEL, San Miguel Centro, San Miguel",SAN MIGUEL,semilla_municipio_nuevo
ULUAZAPA,San Miguel Centro,San Miguel,"ULUAZAPA, San Miguel Centro, San Miguel",ULUAZAPA,semilla_municipio_nuevo
CAROLINA,San Miguel Norte,San Miguel,"CAROLINA, San Miguel Norte, San Miguel",CAROLINA,semilla_municipio_nuevo
CHAPELTIQUE,San Miguel Norte,San Miguel,"CHAPELTIQUE, San Miguel Norte, San Miguel",CHAPELTIQUE,semilla_municipio_nuevo
CIUDAD BARRIOS,San Miguel Norte,San Miguel,"CIUDAD BARRIOS, San Miguel Norte, San Miguel",CIUDAD BARRIOS,semilla_municipio_nuevo
NUEVO EDÉN DE SAN JUAN,San Miguel Norte,San Miguel,"NUEVO EDÉN DE SAN JUAN, San Miguel Norte, San Miguel",NUEVO EDÉN DE SAN JUAN,semilla_municipio_nuevo
SAN ANTONIO DEL MOSCO,San Miguel Norte,San Miguel,"SAN ANTONIO DEL MOSCO, San Miguel Norte, San Miguel",SAN ANTONIO DEL MOSCO,semilla_municipio_nuevo
SAN GERARDO,San Miguel Norte,San Miguel,"SAN GERARDO, San Miguel Norte, San Miguel",SAN GERARDO,semilla_municipio_nuevo
SAN LUIS DE LA REINA,San Miguel Norte,San Miguel,"SAN LUIS DE LA REINA, San Miguel Norte, San Miguel",SAN LUIS DE LA REINA,semilla_municipio_nuevo
SESORI,San Miguel Norte,San Miguel,"SESORI, San Miguel Norte, San Miguel",SESORI,semilla_municipio_nuevo
CHINAMECA,San Miguel Oeste,San Miguel,"CHINAMECA, San Miguel Oeste, San Miguel",CHINAMECA,semilla_municipio_nuevo
EL TRÁNSITO,San Miguel Oeste,San Miguel,"EL TRÁNSITO, San Miguel Oeste, San Miguel",EL TRÁNSITO,semilla_municipio_nuevo
LOLOTIQUE,San Miguel Oeste,San Miguel,"LOLOTIQUE, San Miguel Oeste, San Miguel",LOLOTIQUE,semilla_municipio_nuevo
NUEVA GUADALUPE,San Miguel Oeste,San Miguel,"NUEVA GUADALUPE, San Miguel Oeste, San Miguel",NUEVA GUADALUPE,semilla_municipio_nuevo
SAN JORGE,San Miguel Oeste,San Miguel,"SAN JORGE, San Miguel Oeste, San Miguel",SAN JORGE,semilla_municipio_nuevo
